checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
between 0 and 200,36,no credits/all paid,business,1953,less 100,greater 7 years,4,male single,none,4,no known property,61,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
between 0 and 200,48,no credits/all paid,business,14421,less 100,between 1 and 4 years,2,male single,none,2,car,25,none,own,1,skilled,1,yes,yes,bad
no checking,24,existing paid,radio/tv,3181,less 100,less 1 year,4,female div/dep/mar,none,4,life insurance,26,none,own,1,skilled,1,yes,yes,good
no checking,27,existing paid,repairs,5190,no known savings,greater 7 years,4,male single,none,4,life insurance,48,none,own,4,skilled,2,yes,yes,good
no checking,12,existing paid,radio/tv,2171,less 100,less 1 year,2,female div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,good
between 0 and 200,12,existing paid,new car,1007,greater 1000,between 1 and 4 years,4,male mar/wid,none,1,real estate,22,none,own,1,skilled,1,none,yes,good
no checking,36,existing paid,education,1819,less 100,between 1 and 4 years,4,male single,none,4,no known property,37,stores,for free,1,skilled,1,yes,yes,bad
no checking,36,existing paid,radio/tv,2394,no known savings,between 1 and 4 years,4,female div/dep/mar,none,4,car,25,none,own,1,skilled,1,none,yes,good
no checking,36,existing paid,used car,8133,less 100,between 1 and 4 years,1,female div/dep/mar,none,2,life insurance,30,bank,own,1,skilled,1,none,yes,good
no checking,7,critical/other existing credit,radio/tv,730,no known savings,greater 7 years,4,male single,none,2,life insurance,46,none,rent,2,unskilled resident,1,yes,yes,good
less 0,8,critical/other existing credit,other,1164,less 100,greater 7 years,3,male single,none,4,no known property,51,bank,for free,2,high qualif/self emp/mgmt,2,yes,yes,good
between 0 and 200,42,critical/other existing credit,business,5954,less 100,between 4 and 7 years,2,female div/dep/mar,none,1,real estate,41,bank,own,2,unskilled resident,1,none,yes,good
less 0,36,existing paid,education,1977,no known savings,greater 7 years,4,male single,none,4,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
less 0,12,critical/other existing credit,used car,1526,less 100,greater 7 years,4,male single,none,4,no known property,66,none,for free,2,high qualif/self emp/mgmt,1,none,yes,good
less 0,42,existing paid,radio/tv,3965,less 100,less 1 year,4,male single,none,3,car,34,none,own,1,skilled,1,none,yes,bad
between 0 and 200,11,delayed previously,radio/tv,4771,less 100,between 4 and 7 years,2,male single,none,4,life insurance,51,none,own,1,skilled,1,none,yes,good
no checking,54,no credits/all paid,used car,9436,no known savings,between 1 and 4 years,2,male single,none,2,life insurance,39,none,own,1,unskilled resident,2,none,yes,good
between 0 and 200,30,existing paid,furniture/equipment,3832,less 100,less 1 year,2,male mar/wid,none,1,life insurance,22,none,own,1,skilled,1,none,yes,good
no checking,24,existing paid,radio/tv,5943,no known savings,less 1 year,1,female div/dep/mar,none,1,car,44,none,own,2,skilled,1,yes,yes,bad
no checking,15,existing paid,radio/tv,1213,between 500 and 1000,greater 7 years,4,male single,none,3,life insurance,47,stores,own,1,skilled,1,yes,yes,good
no checking,18,existing paid,business,1568,between 100 and 500,between 1 and 4 years,3,female div/dep/mar,none,4,life insurance,24,none,rent,1,unskilled resident,1,none,yes,good
less 0,24,existing paid,other,1755,less 100,greater 7 years,4,female div/dep/mar,guarantor,4,real estate,58,none,own,1,unskilled resident,1,yes,yes,good
less 0,10,existing paid,radio/tv,2315,less 100,greater 7 years,3,male single,none,4,real estate,52,none,own,1,unskilled resident,1,none,yes,good
no checking,12,critical/other existing credit,business,1412,less 100,between 1 and 4 years,4,female div/dep/mar,guarantor,2,real estate,29,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,18,critical/other existing credit,furniture/equipment,1295,less 100,less 1 year,4,female div/dep/mar,none,1,life insurance,27,none,own,2,skilled,1,none,yes,good
between 0 and 200,36,existing paid,education,12612,between 100 and 500,between 1 and 4 years,1,male single,none,4,no known property,47,none,for free,1,skilled,2,yes,yes,bad
less 0,18,existing paid,new car,2249,between 100 and 500,between 4 and 7 years,4,male single,none,3,car,30,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good
less 0,12,no credits/all paid,repairs,1108,less 100,between 4 and 7 years,4,male single,none,3,real estate,28,none,own,2,skilled,1,none,yes,bad
no checking,12,critical/other existing credit,radio/tv,618,less 100,greater 7 years,4,male single,none,4,real estate,56,none,own,1,skilled,1,none,yes,good
less 0,12,critical/other existing credit,used car,1409,less 100,greater 7 years,4,male single,none,3,real estate,54,none,own,1,skilled,1,none,yes,good
no checking,12,critical/other existing credit,radio/tv,797,no known savings,greater 7 years,4,female div/dep/mar,none,3,life insurance,33,bank,own,1,unskilled resident,2,none,yes,bad
greater 200,24,critical/other existing credit,furniture/equipment,3617,no known savings,greater 7 years,4,male single,co applicant,4,no known property,20,none,rent,2,skilled,1,none,yes,good
between 0 and 200,12,existing paid,new car,1318,greater 1000,greater 7 years,4,male single,none,4,real estate,54,none,own,1,skilled,1,yes,yes,good
between 0 and 200,54,no credits/all paid,business,15945,less 100,less 1 year,3,male single,none,4,no known property,58,none,rent,1,skilled,1,yes,yes,bad
no checking,12,critical/other existing credit,education,2012,no known savings,between 4 and 7 years,4,female div/dep/mar,none,2,car,61,none,own,1,skilled,1,none,yes,good
between 0 and 200,18,existing paid,business,2622,between 100 and 500,between 1 and 4 years,4,male single,none,4,car,34,none,own,1,skilled,1,none,yes,good
between 0 and 200,36,critical/other existing credit,radio/tv,2337,less 100,greater 7 years,4,male single,none,4,real estate,36,none,own,1,skilled,1,none,yes,good
between 0 and 200,20,delayed previously,used car,7057,no known savings,between 4 and 7 years,3,male single,none,4,life insurance,36,bank,rent,2,high qualif/self emp/mgmt,2,yes,yes,good
no checking,24,existing paid,new car,1469,between 100 and 500,greater 7 years,4,male mar/wid,none,4,real estate,41,none,rent,1,unskilled resident,1,none,yes,good
between 0 and 200,36,existing paid,radio/tv,2323,less 100,between 4 and 7 years,4,male single,none,4,car,24,none,rent,1,skilled,1,none,yes,good
no checking,6,delayed previously,radio/tv,932,less 100,between 1 and 4 years,3,female div/dep/mar,none,2,real estate,24,none,own,1,skilled,1,none,yes,good
between 0 and 200,9,critical/other existing credit,furniture/equipment,1919,less 100,between 4 and 7 years,4,male single,none,3,car,35,none,rent,1,skilled,1,yes,yes,good
no checking,12,existing paid,used car,2445,no known savings,less 1 year,2,male mar/wid,none,4,car,26,none,rent,1,skilled,1,yes,yes,good
between 0 and 200,24,critical/other existing credit,other,11938,less 100,between 1 and 4 years,2,male single,co applicant,3,car,39,none,own,2,high qualif/self emp/mgmt,2,yes,yes,bad
no checking,18,all paid,new car,6458,less 100,greater 7 years,2,male single,none,4,no known property,39,bank,own,2,high qualif/self emp/mgmt,2,yes,yes,bad
between 0 and 200,12,existing paid,new car,6078,less 100,between 4 and 7 years,2,male single,none,2,car,32,none,own,1,skilled,1,none,yes,good
less 0,24,existing paid,furniture/equipment,7721,no known savings,less 1 year,1,female div/dep/mar,none,2,life insurance,30,none,own,1,skilled,1,yes,no,good
between 0 and 200,14,existing paid,business,1410,between 500 and 1000,greater 7 years,1,male mar/wid,none,2,real estate,35,none,own,1,skilled,1,yes,yes,good
between 0 and 200,6,delayed previously,business,1449,between 100 and 500,greater 7 years,1,male div/sep,none,2,car,31,bank,own,2,skilled,2,none,yes,good
greater 200,15,existing paid,education,392,less 100,less 1 year,4,female div/dep/mar,none,4,life insurance,23,none,rent,1,skilled,1,yes,yes,good
between 0 and 200,18,existing paid,new car,6260,less 100,between 4 and 7 years,3,male single,none,3,real estate,28,none,rent,1,unskilled resident,1,none,yes,good
no checking,36,critical/other existing credit,new car,7855,less 100,between 1 and 4 years,4,female div/dep/mar,none,2,real estate,25,stores,own,2,skilled,1,yes,yes,bad
less 0,12,existing paid,radio/tv,1680,between 500 and 1000,greater 7 years,3,male mar/wid,none,1,real estate,35,none,own,1,skilled,1,none,yes,good
no checking,48,critical/other existing credit,radio/tv,3578,no known savings,greater 7 years,4,male single,none,1,real estate,47,none,own,1,skilled,1,yes,yes,good
less 0,42,existing paid,radio/tv,7174,no known savings,between 4 and 7 years,4,female div/dep/mar,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
less 0,10,critical/other existing credit,furniture/equipment,2132,no known savings,less 1 year,2,female div/dep/mar,co applicant,3,real estate,27,none,rent,2,skilled,1,none,no,good
less 0,33,critical/other existing credit,furniture/equipment,4281,between 500 and 1000,between 1 and 4 years,1,female div/dep/mar,none,4,car,23,none,own,2,skilled,1,none,yes,bad
between 0 and 200,12,critical/other existing credit,new car,2366,between 500 and 1000,between 4 and 7 years,3,male div/sep,none,3,car,36,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
less 0,21,existing paid,radio/tv,1835,less 100,between 1 and 4 years,3,female div/dep/mar,none,2,real estate,25,none,own,2,skilled,1,yes,yes,bad
no checking,24,critical/other existing credit,used car,3868,less 100,greater 7 years,4,female div/dep/mar,none,2,car,41,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,good
no checking,12,existing paid,furniture/equipment,1768,less 100,between 1 and 4 years,3,male single,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,good
greater 200,10,critical/other existing credit,new car,781,less 100,greater 7 years,4,male single,none,4,no known property,63,none,for free,2,skilled,1,yes,yes,good
between 0 and 200,18,existing paid,furniture/equipment,1924,no known savings,less 1 year,4,female div/dep/mar,none,3,real estate,27,none,rent,1,skilled,1,none,yes,bad
less 0,12,critical/other existing credit,new car,2121,less 100,between 1 and 4 years,4,male single,none,2,life insurance,30,none,own,2,skilled,1,none,yes,good
less 0,12,existing paid,radio/tv,701,less 100,between 1 and 4 years,4,male mar/wid,none,2,real estate,40,none,own,1,unskilled resident,1,none,yes,good
between 0 and 200,12,existing paid,repairs,639,less 100,between 1 and 4 years,4,male single,none,2,car,30,none,own,1,skilled,1,none,yes,bad
between 0 and 200,12,critical/other existing credit,used car,1860,less 100,unemployed,4,male single,none,2,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
less 0,12,critical/other existing credit,new car,3499,less 100,between 1 and 4 years,3,female div/dep/mar,co applicant,2,real estate,29,none,own,2,skilled,1,none,yes,bad
between 0 and 200,48,existing paid,new car,8487,no known savings,between 4 and 7 years,1,female div/dep/mar,none,2,car,24,none,own,1,skilled,1,none,yes,good
less 0,36,delayed previously,education,6887,less 100,between 1 and 4 years,4,male single,none,3,life insurance,29,stores,own,1,skilled,1,yes,yes,bad
no checking,15,existing paid,furniture/equipment,2708,less 100,less 1 year,2,male single,none,3,life insurance,27,bank,own,2,unskilled resident,1,none,yes,good
no checking,18,existing paid,furniture/equipment,1984,less 100,between 1 and 4 years,4,male single,none,4,no known property,47,bank,for free,2,skilled,1,none,yes,good
no checking,60,existing paid,radio/tv,10144,between 100 and 500,between 4 and 7 years,2,female div/dep/mar,none,4,real estate,21,none,own,1,skilled,1,yes,yes,good
no checking,12,critical/other existing credit,radio/tv,1240,no known savings,greater 7 years,4,female div/dep/mar,none,2,real estate,38,none,own,2,skilled,1,yes,yes,good
no checking,27,delayed previously,used car,8613,greater 1000,between 1 and 4 years,2,male single,none,2,car,27,none,own,2,skilled,1,none,yes,good
between 0 and 200,12,existing paid,radio/tv,766,between 500 and 1000,between 1 and 4 years,4,male single,none,3,real estate,66,none,own,1,unskilled resident,1,none,yes,bad
between 0 and 200,15,critical/other existing credit,radio/tv,2728,no known savings,between 4 and 7 years,4,male single,guarantor,2,real estate,35,bank,own,3,skilled,1,yes,yes,good
greater 200,12,existing paid,radio/tv,1881,less 100,between 1 and 4 years,2,female div/dep/mar,none,2,car,44,none,rent,1,unskilled resident,1,yes,yes,good
greater 200,6,existing paid,new car,709,greater 1000,less 1 year,2,male mar/wid,none,2,real estate,27,none,own,1,unemp/unskilled non res,1,none,no,good
between 0 and 200,36,existing paid,radio/tv,4795,less 100,less 1 year,4,female div/dep/mar,none,1,no known property,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
less 0,27,existing paid,radio/tv,3416,less 100,between 1 and 4 years,3,male single,none,2,car,27,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
less 0,18,existing paid,furniture/equipment,2462,less 100,between 1 and 4 years,2,male single,none,2,car,22,none,own,1,skilled,1,none,yes,bad
no checking,21,critical/other existing credit,furniture/equipment,2288,less 100,less 1 year,4,female div/dep/mar,none,4,life insurance,23,none,own,1,skilled,1,yes,yes,good
between 0 and 200,48,all paid,business,3566,between 100 and 500,between 4 and 7 years,4,male single,none,2,car,30,none,own,1,skilled,1,none,yes,good
less 0,6,critical/other existing credit,new car,860,less 100,greater 7 years,1,female div/dep/mar,none,4,no known property,39,none,own,2,skilled,1,yes,yes,good
no checking,12,critical/other existing credit,new car,682,between 100 and 500,between 4 and 7 years,4,female div/dep/mar,none,3,car,51,none,own,2,skilled,1,yes,yes,good
less 0,36,critical/other existing credit,furniture/equipment,5371,less 100,between 1 and 4 years,3,male single,guarantor,2,life insurance,28,none,own,2,skilled,1,none,yes,good
no checking,18,critical/other existing credit,radio/tv,1582,greater 1000,greater 7 years,4,male single,none,4,car,46,none,own,2,skilled,1,none,yes,good
no checking,6,existing paid,radio/tv,1346,between 100 and 500,greater 7 years,2,male single,none,4,no known property,42,bank,for free,1,skilled,2,yes,yes,good
no checking,10,existing paid,radio/tv,1924,less 100,between 1 and 4 years,1,male single,none,4,life insurance,38,none,own,1,skilled,1,yes,no,good
greater 200,36,existing paid,radio/tv,5848,less 100,between 1 and 4 years,4,male single,none,1,car,24,none,own,1,skilled,1,none,yes,good
between 0 and 200,24,critical/other existing credit,used car,7758,greater 1000,greater 7 years,2,female div/dep/mar,none,4,no known property,29,none,rent,1,skilled,1,none,yes,good
between 0 and 200,24,delayed previously,business,6967,between 100 and 500,between 4 and 7 years,4,male single,none,4,car,36,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
less 0,12,existing paid,furniture/equipment,1282,less 100,between 1 and 4 years,2,female div/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,yes,bad
less 0,9,critical/other existing credit,repairs,1288,between 100 and 500,greater 7 years,3,male single,guarantor,4,real estate,48,none,own,2,skilled,2,none,no,good
less 0,12,all paid,retraining,339,less 100,greater 7 years,4,male mar/wid,none,1,car,45,bank,own,1,unskilled resident,1,none,yes,good
between 0 and 200,24,existing paid,new car,3512,between 100 and 500,between 4 and 7 years,2,male single,none,3,car,38,bank,own,2,skilled,1,yes,yes,good
no checking,6,critical/other existing credit,radio/tv,1898,no known savings,between 1 and 4 years,1,male single,none,2,real estate,34,none,own,2,unskilled resident,2,none,yes,good
no checking,24,critical/other existing credit,radio/tv,2872,between 100 and 500,greater 7 years,3,male single,none,4,real estate,36,none,own,1,skilled,2,yes,yes,good
no checking,18,critical/other existing credit,new car,1055,less 100,less 1 year,4,female div/dep/mar,none,1,life insurance,30,none,own,2,skilled,1,none,yes,good
no checking,15,existing paid,domestic appliance,1262,between 500 and 1000,between 4 and 7 years,4,male single,none,3,life insurance,36,none,own,2,skilled,1,yes,yes,good
between 0 and 200,10,existing paid,new car,7308,less 100,unemployed,2,male single,none,4,no known property,70,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,36,existing paid,new car,909,between 500 and 1000,greater 7 years,4,male single,none,4,life insurance,36,none,own,1,skilled,1,none,yes,good
no checking,6,existing paid,furniture/equipment,2978,between 500 and 1000,between 1 and 4 years,1,male single,none,2,car,32,none,own,1,skilled,1,yes,yes,good
less 0,18,existing paid,furniture/equipment,1131,less 100,unemployed,4,female div/dep/mar,none,2,car,33,none,own,1,skilled,1,none,yes,bad
between 0 and 200,11,existing paid,furniture/equipment,1577,greater 1000,less 1 year,4,female div/dep/mar,none,1,real estate,20,none,own,1,skilled,1,none,yes,good
no checking,24,existing paid,furniture/equipment,3972,less 100,between 4 and 7 years,2,female div/dep/mar,none,4,life insurance,25,none,rent,1,skilled,1,yes,yes,good
between 0 and 200,24,critical/other existing credit,business,1935,less 100,greater 7 years,4,male div/sep,none,4,real estate,31,none,own,2,skilled,1,yes,yes,bad
less 0,15,no credits/all paid,new car,950,less 100,greater 7 years,4,male single,none,3,car,33,none,rent,2,skilled,2,none,yes,bad
no checking,12,existing paid,furniture/equipment,763,less 100,between 1 and 4 years,4,female div/dep/mar,none,1,real estate,26,none,own,1,skilled,1,yes,yes,good
between 0 and 200,24,delayed previously,furniture/equipment,2064,less 100,unemployed,3,female div/dep/mar,none,2,life insurance,34,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
between 0 and 200,8,existing paid,radio/tv,1414,less 100,between 1 and 4 years,4,male single,guarantor,2,real estate,33,none,own,1,skilled,1,none,no,good
less 0,21,delayed previously,education,3414,less 100,less 1 year,2,male single,none,1,life insurance,26,none,own,2,skilled,1,none,yes,bad
no checking,30,all paid,used car,7485,no known savings,unemployed,4,female div/dep/mar,none,1,real estate,53,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
less 0,12,existing paid,furniture/equipment,2577,less 100,between 1 and 4 years,2,male div/sep,none,1,car,42,none,own,1,skilled,1,none,yes,good
less 0,6,critical/other existing credit,radio/tv,338,between 500 and 1000,greater 7 years,4,male single,none,4,car,52,none,own,2,skilled,1,none,yes,good
no checking,12,existing paid,radio/tv,1963,less 100,between 4 and 7 years,4,male single,none,2,car,31,none,rent,2,high qualif/self emp/mgmt,2,yes,yes,good
less 0,21,critical/other existing credit,new car,571,less 100,greater 7 years,4,male single,none,4,real estate,65,none,own,2,skilled,1,none,yes,good
no checking,36,delayed previously,business,9572,less 100,less 1 year,1,male div/sep,none,1,car,28,none,own,2,skilled,1,none,yes,bad
between 0 and 200,36,delayed previously,business,4455,less 100,between 1 and 4 years,2,male div/sep,none,2,real estate,30,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
less 0,21,all paid,new car,1647,no known savings,between 1 and 4 years,4,male single,none,2,life insurance,40,none,own,2,unskilled resident,2,none,yes,bad
no checking,24,critical/other existing credit,furniture/equipment,3777,greater 1000,between 1 and 4 years,4,male single,none,4,real estate,50,none,own,1,skilled,1,yes,yes,good
between 0 and 200,18,critical/other existing credit,new car,884,less 100,greater 7 years,4,male single,none,4,car,36,bank,own,1,skilled,2,yes,yes,bad
no checking,15,critical/other existing credit,radio/tv,1360,less 100,between 1 and 4 years,4,male single,none,2,life insurance,31,none,own,2,skilled,1,none,yes,good
