,age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,class
15302,58.0,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
29174,22.0,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
4977,48.0,Private,11th,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
18177,40.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
14928,37.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
11045,43.0,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,43.0,United-States,>50K
17304,62.0,Private,HS-grad,9,Divorced,Priv-house-serv,Unmarried,Black,Female,0.0,0.0,99.0,United-States,<=50K
23975,22.0,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,30.0,United-States,<=50K
31354,33.0,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
12444,40.0,Private,HS-grad,9,Divorced,Protective-serv,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
14939,52.0,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
755,35.0,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1887.0,45.0,United-States,>50K
22081,37.0,Private,1st-4th,2,Married-spouse-absent,Farming-fishing,Other-relative,White,Male,0.0,0.0,77.0,Mexico,<=50K
4182,33.0,Private,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,914.0,0.0,40.0,Germany,<=50K
30373,67.0,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,6.0,United-States,<=50K
28310,22.0,Private,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
17711,24.0,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
21086,48.0,Private,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
32076,42.0,Private,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,50.0,United-States,>50K
18889,44.0,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
22252,33.0,Local-gov,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
6847,28.0,State-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
27658,26.0,Private,Bachelors,13,Never-married,Other-service,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
28139,61.0,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
5344,21.0,Private,Some-college,10,Never-married,Farming-fishing,Own-child,Black,Male,0.0,0.0,10.0,United-States,<=50K
8533,55.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
26242,47.0,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
23942,43.0,Private,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
12526,52.0,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
17097,57.0,Private,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0.0,0.0,28.0,United-States,<=50K
17658,32.0,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
22982,25.0,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,45.0,United-States,<=50K
18446,44.0,Federal-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,United-States,>50K
18093,72.0,Private,10th,6,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,20.0,United-States,<=50K
32468,85.0,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,3.0,Poland,<=50K
16305,33.0,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,50.0,United-States,<=50K
29507,59.0,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,United-States,>50K
30912,50.0,Private,7th-8th,4,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,35.0,United-States,<=50K
4552,45.0,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K
16107,43.0,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,>50K
17102,37.0,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0.0,0.0,48.0,United-States,>50K
20445,43.0,Private,HS-grad,9,Separated,Sales,Not-in-family,White,Female,0.0,0.0,30.0,United-States,<=50K
31357,23.0,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
21016,59.0,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
5165,43.0,Private,Bachelors,13,Separated,Prof-specialty,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
9219,61.0,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
27783,38.0,Self-emp-not-inc,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
3596,33.0,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,3325.0,0.0,50.0,United-States,<=50K
25930,44.0,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
4582,32.0,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
10280,47.0,Federal-gov,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0.0,0.0,40.0,United-States,>50K
17949,38.0,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
5523,28.0,Self-emp-inc,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
9573,58.0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
11604,30.0,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,0.0,10.0,China,<=50K
12115,34.0,State-gov,12th,8,Never-married,Adm-clerical,Not-in-family,Black,Female,0.0,0.0,40.0,United-States,<=50K
27470,36.0,Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
7454,64.0,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,5.0,United-States,>50K
15628,22.0,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,29.0,United-States,<=50K
30400,54.0,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,45.0,United-States,>50K
31201,29.0,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45.0,United-States,>50K
14879,36.0,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,Black,Female,0.0,0.0,40.0,United-States,<=50K
12011,60.0,Private,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
16456,33.0,Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
1110,47.0,Private,9th,5,Divorced,Other-service,Not-in-family,White,Female,0.0,1719.0,30.0,United-States,<=50K
5588,19.0,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
5113,33.0,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,0.0,0.0,40.0,United-States,>50K
27462,19.0,Private,Some-college,10,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0.0,0.0,40.0,United-States,<=50K
27969,29.0,Self-emp-not-inc,11th,7,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,5.0,United-States,<=50K
2451,56.0,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Male,7688.0,0.0,45.0,United-States,>50K
8313,32.0,Federal-gov,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
18355,52.0,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
29764,45.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Other,Male,0.0,0.0,40.0,Mexico,<=50K
16325,50.0,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,35.0,United-States,<=50K
28042,53.0,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45.0,United-States,>50K
20696,39.0,Private,10th,6,Never-married,Other-service,Unmarried,White,Female,0.0,0.0,25.0,Mexico,<=50K
13282,34.0,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45.0,United-States,>50K
19365,45.0,Private,1st-4th,2,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
9293,60.0,Private,HS-grad,9,Widowed,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
6124,22.0,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
3705,51.0,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,3103.0,0.0,30.0,United-States,>50K
5432,19.0,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,50.0,United-States,<=50K
11880,20.0,Private,11th,7,Never-married,Prof-specialty,Other-relative,White,Male,0.0,0.0,40.0,United-States,<=50K
3223,42.0,Private,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,4650.0,0.0,40.0,United-States,<=50K
13471,33.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K
7861,18.0,Private,12th,8,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,10.0,United-States,<=50K
17159,38.0,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
22324,51.0,Private,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
10208,43.0,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
12389,43.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,35.0,United-States,>50K
24197,30.0,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
15812,27.0,Private,Bachelors,13,Never-married,Sales,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
30831,41.0,State-gov,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0.0,0.0,38.0,United-States,<=50K
29099,38.0,Federal-gov,Some-college,10,Divorced,Tech-support,Unmarried,Black,Female,0.0,0.0,40.0,United-States,<=50K
7182,61.0,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
2689,36.0,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7298.0,0.0,44.0,United-States,>50K
14926,42.0,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Other,Male,0.0,0.0,40.0,United-States,>50K
21790,60.0,Self-emp-not-inc,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
24485,72.0,Private,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,30.0,United-States,<=50K
17125,19.0,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,30.0,United-States,<=50K
10536,26.0,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,48.0,United-States,<=50K
18835,52.0,Private,11th,7,Widowed,Other-service,Unmarried,Black,Female,0.0,0.0,40.0,United-States,<=50K
8030,52.0,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
12111,41.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Other,Male,0.0,0.0,40.0,United-States,<=50K
10072,41.0,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
28334,50.0,Private,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
4753,49.0,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,45.0,United-States,<=50K
1664,65.0,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999.0,0.0,65.0,United-States,>50K
16633,21.0,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,30.0,United-States,<=50K
22650,48.0,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,32.0,United-States,<=50K
15040,23.0,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
5260,59.0,Federal-gov,Some-college,10,Never-married,Exec-managerial,Own-child,Black,Female,0.0,0.0,40.0,United-States,<=50K
15400,26.0,Private,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
2527,57.0,Private,12th,8,Married-civ-spouse,Transport-moving,Husband,Black,Male,7688.0,0.0,40.0,United-States,>50K
28357,57.0,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
22980,19.0,Private,11th,7,Never-married,Sales,Own-child,White,Female,0.0,0.0,25.0,United-States,<=50K
30192,21.0,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,0.0,0.0,20.0,United-States,<=50K
10276,24.0,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0.0,0.0,35.0,United-States,<=50K
