,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,class
536,75.0,31.0,8.0,15.0,5.0,0.0,0.0,100.0,-7.0,7,8,5.0,3.0,20.0,-7.0,1.0,1.0,12.0,-8.0,3.0,1.0,0.0,100.0,Bad
2473,58.0,46.0,7.0,38.0,13.0,0.0,0.0,93.0,8.0,4,6,5.0,1.0,50.0,-7.0,2.0,2.0,80.0,84.0,5.0,4.0,1.0,90.0,Bad
3514,83.0,221.0,11.0,67.0,19.0,0.0,0.0,100.0,-7.0,7,8,21.0,1.0,21.0,10.0,0.0,0.0,4.0,36.0,1.0,3.0,0.0,29.0,Bad
4879,83.0,281.0,2.0,59.0,13.0,0.0,0.0,100.0,-7.0,7,8,14.0,6.0,43.0,1.0,2.0,2.0,2.0,80.0,1.0,4.0,0.0,56.0,Good
2245,80.0,157.0,5.0,133.0,27.0,0.0,0.0,78.0,-8.0,6,6,22.0,1.0,48.0,-7.0,0.0,0.0,6.0,64.0,6.0,3.0,0.0,82.0,Bad
834,88.0,320.0,4.0,93.0,52.0,0.0,0.0,100.0,-7.0,7,8,55.0,3.0,22.0,6.0,0.0,0.0,3.0,71.0,3.0,1.0,0.0,36.0,Good
325,64.0,150.0,2.0,45.0,12.0,1.0,1.0,86.0,3.0,0,2,14.0,4.0,21.0,0.0,2.0,2.0,9.0,-8.0,4.0,1.0,-8.0,56.0,Bad
7087,63.0,211.0,13.0,76.0,15.0,2.0,2.0,74.0,9.0,2,2,19.0,0.0,5.0,0.0,7.0,7.0,1.0,-8.0,1.0,-8.0,0.0,14.0,Good
915,77.0,59.0,19.0,41.0,6.0,0.0,0.0,100.0,-7.0,7,8,6.0,0.0,50.0,4.0,2.0,1.0,0.0,93.0,0.0,2.0,-8.0,67.0,Bad
6748,69.0,147.0,3.0,65.0,38.0,0.0,0.0,100.0,-7.0,7,8,41.0,4.0,44.0,1.0,4.0,4.0,51.0,73.0,3.0,3.0,1.0,46.0,Bad
5042,77.0,217.0,19.0,97.0,13.0,0.0,0.0,92.0,46.0,6,6,13.0,0.0,23.0,0.0,3.0,3.0,29.0,-8.0,1.0,-8.0,0.0,20.0,Bad
3856,73.0,238.0,2.0,101.0,44.0,2.0,1.0,87.0,6.0,4,2,50.0,2.0,13.0,0.0,2.0,2.0,5.0,-8.0,4.0,1.0,0.0,29.0,Good
3339,86.0,340.0,4.0,71.0,27.0,0.0,0.0,100.0,-7.0,7,8,35.0,2.0,19.0,4.0,1.0,1.0,14.0,83.0,8.0,1.0,0.0,75.0,Good
9238,92.0,490.0,61.0,127.0,10.0,0.0,0.0,100.0,-7.0,7,8,11.0,0.0,0.0,-8.0,0.0,0.0,0.0,-8.0,2.0,-8.0,0.0,25.0,Good
2839,69.0,217.0,44.0,118.0,30.0,1.0,0.0,94.0,8.0,4,5,23.0,0.0,25.0,8.0,0.0,0.0,10.0,-8.0,9.0,-8.0,1.0,75.0,Bad
6286,89.0,225.0,3.0,81.0,11.0,0.0,0.0,100.0,-7.0,7,8,12.0,2.0,73.0,1.0,3.0,3.0,6.0,91.0,1.0,3.0,0.0,80.0,Good
2087,61.0,149.0,13.0,75.0,4.0,4.0,4.0,100.0,-7.0,7,8,8.0,0.0,50.0,0.0,0.0,0.0,-8.0,89.0,-8.0,2.0,-8.0,100.0,Bad
294,64.0,159.0,1.0,54.0,20.0,1.0,0.0,89.0,20.0,5,5,27.0,2.0,52.0,0.0,2.0,2.0,42.0,94.0,4.0,2.0,2.0,86.0,Good
6936,87.0,147.0,1.0,69.0,8.0,0.0,0.0,100.0,-7.0,7,8,11.0,2.0,45.0,1.0,3.0,3.0,2.0,100.0,1.0,1.0,0.0,50.0,Good
4986,65.0,305.0,13.0,90.0,25.0,0.0,0.0,88.0,26.0,6,6,26.0,0.0,58.0,13.0,0.0,0.0,75.0,69.0,3.0,6.0,2.0,75.0,Bad
4070,61.0,132.0,3.0,48.0,21.0,2.0,1.0,78.0,12.0,6,5,26.0,2.0,39.0,0.0,2.0,1.0,39.0,99.0,3.0,2.0,1.0,63.0,Bad
3271,71.0,-8.0,1.0,91.0,15.0,0.0,0.0,94.0,-8.0,6,6,0.0,4.0,44.0,9.0,0.0,0.0,60.0,80.0,4.0,4.0,3.0,80.0,Good
1727,71.0,151.0,2.0,34.0,10.0,0.0,0.0,100.0,-7.0,7,8,12.0,7.0,25.0,0.0,4.0,4.0,53.0,-8.0,6.0,-8.0,1.0,67.0,Bad
5058,59.0,164.0,5.0,56.0,30.0,0.0,0.0,87.0,2.0,4,6,31.0,2.0,39.0,0.0,2.0,2.0,72.0,96.0,4.0,3.0,2.0,88.0,Bad
9304,88.0,312.0,11.0,109.0,17.0,0.0,0.0,100.0,-7.0,7,8,17.0,2.0,53.0,0.0,2.0,2.0,5.0,-8.0,2.0,2.0,0.0,67.0,Good
10363,73.0,288.0,2.0,82.0,14.0,0.0,0.0,93.0,5.0,4,6,17.0,1.0,20.0,0.0,2.0,2.0,4.0,69.0,2.0,3.0,0.0,63.0,Good
7757,68.0,151.0,10.0,82.0,22.0,1.0,0.0,79.0,22.0,6,5,24.0,1.0,25.0,10.0,0.0,0.0,53.0,-8.0,7.0,2.0,1.0,64.0,Bad
7466,66.0,78.0,6.0,25.0,22.0,1.0,1.0,96.0,39.0,6,4,27.0,5.0,22.0,0.0,3.0,1.0,38.0,78.0,8.0,4.0,0.0,67.0,Bad
8281,79.0,198.0,41.0,83.0,14.0,0.0,0.0,100.0,-7.0,7,8,17.0,0.0,29.0,-7.0,0.0,0.0,53.0,-8.0,4.0,1.0,1.0,71.0,Bad
1934,62.0,233.0,7.0,72.0,8.0,1.0,0.0,78.0,47.0,6,5,9.0,2.0,44.0,0.0,0.0,0.0,95.0,85.0,3.0,2.0,3.0,100.0,Bad
2884,65.0,-8.0,7.0,19.0,27.0,0.0,0.0,100.0,-7.0,7,8,0.0,5.0,0.0,1.0,3.0,3.0,41.0,-8.0,4.0,-8.0,2.0,36.0,Bad
9899,83.0,140.0,4.0,75.0,27.0,0.0,0.0,100.0,-7.0,7,8,29.0,4.0,52.0,0.0,3.0,2.0,12.0,100.0,2.0,3.0,0.0,71.0,Good
8592,63.0,194.0,2.0,42.0,24.0,3.0,2.0,93.0,29.0,6,4,28.0,6.0,14.0,0.0,3.0,3.0,33.0,-8.0,7.0,2.0,3.0,50.0,Bad
3032,63.0,141.0,6.0,28.0,2.0,0.0,0.0,50.0,30.0,6,6,10.0,1.0,0.0,6.0,0.0,0.0,72.0,-8.0,2.0,-8.0,0.0,100.0,Bad
7919,72.0,86.0,6.0,45.0,15.0,0.0,0.0,87.0,25.0,6,6,16.0,3.0,38.0,0.0,2.0,2.0,33.0,-8.0,4.0,-8.0,0.0,67.0,Good
337,89.0,351.0,5.0,79.0,12.0,0.0,0.0,100.0,-7.0,7,8,12.0,2.0,58.0,0.0,0.0,0.0,4.0,85.0,2.0,3.0,0.0,83.0,Good
306,84.0,294.0,5.0,119.0,44.0,0.0,0.0,100.0,-7.0,7,8,47.0,3.0,68.0,0.0,2.0,2.0,4.0,67.0,5.0,8.0,2.0,76.0,Good
4712,70.0,201.0,2.0,114.0,9.0,7.0,7.0,75.0,38.0,6,2,13.0,2.0,31.0,6.0,0.0,0.0,2.0,-8.0,1.0,1.0,0.0,50.0,Bad
3774,71.0,409.0,12.0,137.0,44.0,0.0,0.0,100.0,-7.0,7,8,44.0,0.0,18.0,1.0,2.0,2.0,47.0,93.0,14.0,3.0,4.0,60.0,Good
4931,77.0,85.0,7.0,42.0,13.0,0.0,0.0,92.0,59.0,6,6,13.0,4.0,15.0,1.0,3.0,3.0,8.0,98.0,4.0,2.0,0.0,67.0,Good
2212,85.0,245.0,22.0,106.0,16.0,0.0,0.0,94.0,59.0,6,6,16.0,0.0,25.0,0.0,0.0,0.0,0.0,-8.0,0.0,-8.0,0.0,0.0,Good
2804,75.0,179.0,27.0,117.0,20.0,1.0,1.0,95.0,13.0,6,2,6.0,0.0,29.0,-7.0,1.0,1.0,14.0,-8.0,6.0,1.0,1.0,54.0,Good
7557,66.0,226.0,3.0,95.0,20.0,1.0,1.0,100.0,-7.0,7,8,22.0,3.0,23.0,-7.0,0.0,0.0,47.0,86.0,7.0,3.0,1.0,67.0,Good
2619,84.0,142.0,17.0,65.0,12.0,0.0,0.0,100.0,-7.0,7,8,13.0,0.0,42.0,-7.0,0.0,0.0,17.0,-8.0,2.0,2.0,0.0,57.0,Bad
7657,61.0,56.0,6.0,31.0,21.0,0.0,0.0,100.0,-7.0,7,8,21.0,2.0,29.0,-7.0,0.0,0.0,71.0,83.0,5.0,5.0,3.0,77.0,Bad
8461,90.0,-8.0,2.0,81.0,8.0,0.0,0.0,100.0,-7.0,7,8,10.0,1.0,20.0,-7.0,1.0,1.0,0.0,-8.0,0.0,1.0,0.0,20.0,Good
3327,85.0,244.0,21.0,123.0,26.0,0.0,0.0,100.0,-7.0,7,8,21.0,0.0,46.0,7.0,0.0,0.0,8.0,-8.0,6.0,-8.0,0.0,67.0,Good
466,73.0,201.0,16.0,108.0,13.0,0.0,0.0,93.0,12.0,6,6,14.0,0.0,21.0,0.0,0.0,0.0,47.0,77.0,6.0,2.0,1.0,89.0,Bad
1408,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,Bad
8496,57.0,-8.0,6.0,91.0,10.0,1.0,0.0,47.0,2.0,4,5,16.0,1.0,31.0,-7.0,0.0,0.0,91.0,29.0,4.0,1.0,2.0,86.0,Bad
2414,81.0,263.0,2.0,78.0,44.0,0.0,0.0,100.0,-7.0,7,8,38.0,4.0,20.0,-7.0,5.0,5.0,4.0,100.0,3.0,2.0,0.0,25.0,Good
2460,73.0,335.0,2.0,97.0,13.0,2.0,1.0,76.0,7.0,4,4,17.0,2.0,35.0,-7.0,2.0,2.0,0.0,70.0,1.0,5.0,0.0,43.0,Good
4934,67.0,235.0,5.0,92.0,27.0,0.0,0.0,100.0,-7.0,7,8,27.0,2.0,26.0,13.0,0.0,0.0,53.0,84.0,8.0,3.0,2.0,65.0,Good
1069,62.0,220.0,3.0,79.0,12.0,0.0,0.0,93.0,10.0,4,6,15.0,1.0,21.0,3.0,1.0,1.0,93.0,-8.0,4.0,1.0,3.0,83.0,Good
3502,91.0,232.0,80.0,141.0,14.0,0.0,0.0,100.0,-7.0,7,8,22.0,0.0,0.0,9.0,0.0,0.0,2.0,-8.0,2.0,-8.0,0.0,33.0,Good
7329,66.0,92.0,13.0,68.0,5.0,2.0,2.0,71.0,79.0,6,2,7.0,0.0,29.0,0.0,1.0,1.0,39.0,72.0,1.0,1.0,1.0,67.0,Good
1532,84.0,273.0,6.0,119.0,19.0,0.0,0.0,95.0,25.0,6,6,19.0,1.0,16.0,0.0,2.0,2.0,3.0,-8.0,2.0,1.0,0.0,30.0,Good
1467,69.0,323.0,6.0,107.0,44.0,1.0,1.0,96.0,77.0,6,6,46.0,1.0,22.0,0.0,0.0,0.0,46.0,94.0,18.0,3.0,3.0,60.0,Bad
5876,70.0,283.0,6.0,92.0,10.0,1.0,1.0,100.0,-7.0,6,8,10.0,2.0,0.0,-7.0,0.0,0.0,44.0,-8.0,3.0,-8.0,0.0,75.0,Bad
4251,78.0,266.0,13.0,95.0,16.0,0.0,0.0,100.0,-7.0,7,8,16.0,0.0,56.0,0.0,2.0,2.0,51.0,90.0,4.0,2.0,1.0,100.0,Bad
8429,81.0,407.0,8.0,90.0,31.0,0.0,0.0,100.0,-7.0,7,8,33.0,1.0,36.0,0.0,4.0,4.0,0.0,76.0,2.0,2.0,1.0,45.0,Good
7863,57.0,173.0,3.0,48.0,25.0,1.0,1.0,96.0,1.0,2,4,26.0,4.0,23.0,0.0,2.0,2.0,4.0,36.0,5.0,4.0,0.0,60.0,Bad
6730,68.0,88.0,15.0,49.0,15.0,1.0,1.0,100.0,-7.0,7,8,15.0,0.0,47.0,-7.0,0.0,0.0,87.0,83.0,3.0,3.0,0.0,100.0,Bad
3580,76.0,356.0,2.0,56.0,34.0,0.0,0.0,100.0,-7.0,7,8,29.0,6.0,22.0,0.0,6.0,6.0,2.0,66.0,4.0,3.0,0.0,39.0,Bad
1108,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,Bad
2352,74.0,264.0,11.0,64.0,28.0,0.0,0.0,96.0,29.0,6,6,58.0,1.0,29.0,-7.0,5.0,5.0,37.0,-8.0,5.0,2.0,1.0,44.0,Bad
10112,58.0,132.0,13.0,61.0,11.0,3.0,1.0,71.0,2.0,4,4,14.0,0.0,29.0,-7.0,1.0,1.0,57.0,-8.0,3.0,1.0,1.0,83.0,Bad
5265,63.0,149.0,3.0,80.0,11.0,2.0,1.0,83.0,8.0,4,5,12.0,2.0,33.0,0.0,17.0,16.0,27.0,86.0,2.0,3.0,0.0,83.0,Bad
1529,72.0,195.0,9.0,128.0,16.0,0.0,0.0,78.0,66.0,4,6,18.0,2.0,50.0,0.0,1.0,1.0,11.0,78.0,4.0,1.0,0.0,83.0,Good
7673,72.0,225.0,3.0,68.0,28.0,0.0,0.0,96.0,18.0,6,6,28.0,4.0,18.0,-7.0,0.0,0.0,25.0,100.0,5.0,2.0,1.0,50.0,Good
6313,78.0,191.0,7.0,81.0,29.0,0.0,0.0,100.0,-7.0,7,8,30.0,3.0,45.0,3.0,1.0,1.0,52.0,66.0,2.0,4.0,0.0,86.0,Bad
8844,69.0,198.0,12.0,100.0,18.0,0.0,0.0,89.0,18.0,6,6,18.0,0.0,61.0,0.0,1.0,1.0,54.0,89.0,4.0,2.0,1.0,100.0,Bad
2604,65.0,11.0,10.0,39.0,17.0,1.0,0.0,72.0,13.0,6,5,1.0,2.0,39.0,-7.0,5.0,5.0,0.0,-8.0,3.0,2.0,0.0,63.0,Bad
10409,80.0,210.0,8.0,82.0,17.0,0.0,0.0,95.0,9.0,4,6,19.0,3.0,37.0,9.0,0.0,0.0,7.0,-8.0,1.0,3.0,0.0,56.0,Good
6366,65.0,53.0,4.0,27.0,16.0,0.0,0.0,100.0,-7.0,7,8,16.0,5.0,44.0,0.0,2.0,2.0,73.0,79.0,5.0,4.0,2.0,100.0,Bad
9111,73.0,147.0,4.0,66.0,20.0,0.0,0.0,100.0,-7.0,7,8,20.0,2.0,50.0,-7.0,0.0,0.0,74.0,76.0,5.0,4.0,1.0,100.0,Bad
6417,69.0,87.0,5.0,35.0,15.0,0.0,0.0,67.0,12.0,6,6,15.0,2.0,60.0,0.0,2.0,2.0,0.0,76.0,1.0,2.0,-8.0,50.0,Bad
9453,88.0,163.0,11.0,87.0,9.0,0.0,0.0,90.0,-8.0,6,6,10.0,1.0,20.0,0.0,0.0,0.0,2.0,-8.0,2.0,-8.0,0.0,40.0,Bad
877,80.0,404.0,12.0,105.0,35.0,0.0,0.0,100.0,-7.0,7,8,36.0,0.0,26.0,0.0,3.0,3.0,32.0,61.0,6.0,2.0,0.0,57.0,Good
446,65.0,111.0,19.0,63.0,23.0,1.0,1.0,92.0,25.0,6,2,25.0,0.0,64.0,0.0,4.0,4.0,72.0,114.0,1.0,8.0,0.0,90.0,Bad
10101,84.0,144.0,8.0,64.0,16.0,0.0,0.0,100.0,-7.0,7,8,16.0,1.0,44.0,-7.0,0.0,0.0,16.0,75.0,3.0,2.0,0.0,86.0,Good
1013,72.0,280.0,22.0,128.0,17.0,1.0,1.0,94.0,-8.0,6,6,18.0,0.0,56.0,0.0,0.0,0.0,24.0,-8.0,2.0,2.0,0.0,57.0,Good
6255,82.0,191.0,12.0,98.0,9.0,1.0,0.0,90.0,35.0,6,5,10.0,0.0,60.0,3.0,1.0,1.0,0.0,78.0,0.0,2.0,0.0,60.0,Good
2267,71.0,171.0,11.0,62.0,17.0,0.0,0.0,88.0,69.0,6,6,20.0,1.0,35.0,-7.0,0.0,0.0,41.0,67.0,3.0,2.0,1.0,56.0,Bad
5134,72.0,271.0,3.0,58.0,39.0,1.0,0.0,98.0,8.0,4,5,43.0,2.0,40.0,0.0,6.0,6.0,12.0,92.0,4.0,3.0,0.0,64.0,Good
4859,84.0,169.0,21.0,57.0,15.0,0.0,0.0,100.0,-7.0,7,8,15.0,0.0,33.0,0.0,1.0,1.0,11.0,-8.0,3.0,1.0,0.0,57.0,Good
2706,65.0,176.0,1.0,19.0,18.0,0.0,0.0,100.0,-7.0,7,8,37.0,7.0,10.0,-7.0,4.0,4.0,38.0,100.0,8.0,2.0,2.0,59.0,Bad
847,83.0,265.0,3.0,90.0,17.0,0.0,0.0,100.0,-7.0,7,8,17.0,2.0,18.0,4.0,1.0,1.0,18.0,-8.0,4.0,2.0,0.0,75.0,Good
6985,78.0,265.0,32.0,115.0,11.0,0.0,0.0,100.0,-7.0,7,8,11.0,0.0,64.0,-8.0,0.0,0.0,80.0,-8.0,2.0,1.0,-8.0,100.0,Bad
1434,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,Good
10441,71.0,155.0,1.0,71.0,24.0,0.0,0.0,100.0,-7.0,7,8,25.0,3.0,32.0,3.0,3.0,3.0,54.0,-8.0,3.0,1.0,1.0,100.0,Good
3876,72.0,387.0,6.0,107.0,24.0,1.0,1.0,96.0,48.0,6,2,26.0,1.0,20.0,0.0,2.0,2.0,38.0,-8.0,6.0,1.0,2.0,50.0,Bad
2583,70.0,258.0,1.0,71.0,19.0,2.0,1.0,91.0,33.0,6,2,43.0,2.0,17.0,-7.0,0.0,0.0,69.0,54.0,6.0,3.0,3.0,82.0,Bad
3096,67.0,94.0,19.0,58.0,20.0,0.0,0.0,95.0,37.0,6,6,17.0,0.0,10.0,12.0,0.0,0.0,74.0,-8.0,6.0,1.0,3.0,78.0,Bad
3945,85.0,386.0,2.0,125.0,25.0,0.0,0.0,96.0,34.0,6,6,49.0,1.0,39.0,1.0,1.0,1.0,2.0,72.0,4.0,3.0,0.0,64.0,Good
