,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
29,no checking,21.0,critical/other existing credit,used car,3275.0,less 100,greater 7 years,1.0,male single,none,4.0,car,36.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
30,less 0,18.0,existing paid,new car,1216.0000000000002,less 100,less 1 year,4.0,female div/dep/mar,none,3.0,car,23.0,none,rent,1.0,skilled,1.0,yes,yes,bad
31,no checking,24.0,critical/other existing credit,new car,1287.0,greater 1000,greater 7 years,4.0,female div/dep/mar,none,4.0,real estate,37.0,none,own,2.0,skilled,1.0,yes,yes,good
32,no checking,24.0,critical/other existing credit,used car,5804.0,greater 1000,between 1 and 4 years,4.0,male single,none,2.0,real estate,27.0,none,own,2.0,skilled,1.0,none,yes,good
33,no checking,12.0,existing paid,new car,1386.0,between 500 and 1000,between 1 and 4 years,2.0,female div/dep/mar,none,2.0,life insurance,26.0,none,own,1.0,skilled,1.0,none,yes,bad
34,between 0 and 200,12.0,existing paid,furniture/equipment,3017.0,less 100,less 1 year,3.0,female div/dep/mar,none,1.0,real estate,34.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
35,between 0 and 200,60.0,existing paid,education,6288.0,less 100,between 1 and 4 years,4.0,male single,none,4.0,no known property,42.0,none,for free,1.0,skilled,1.0,none,yes,bad
36,between 0 and 200,18.0,existing paid,radio/tv,3213.0,between 500 and 1000,less 1 year,1.0,male mar/wid,none,3.0,real estate,25.0,none,rent,1.0,skilled,1.0,none,yes,good
37,no checking,18.0,existing paid,furniture/equipment,2515.0,less 100,between 1 and 4 years,3.0,male single,none,4.0,real estate,43.0,none,own,1.0,skilled,1.0,yes,yes,good
38,no checking,9.0,existing paid,furniture/equipment,1313.0,less 100,greater 7 years,1.0,male single,none,4.0,car,20.0,none,own,1.0,skilled,1.0,none,yes,good
39,no checking,15.0,existing paid,used car,3812.0,between 100 and 500,less 1 year,1.0,female div/dep/mar,none,4.0,car,23.0,none,own,1.0,skilled,1.0,yes,yes,good
40,greater 200,6.000000000000002,existing paid,new car,709.0,greater 1000,less 1 year,2.0,male mar/wid,none,2.0,real estate,27.0,none,own,1.0,unemp/unskilled non res,1.0,none,no,good
41,between 0 and 200,6.000000000000002,critical/other existing credit,retraining,932.0,no known savings,between 4 and 7 years,1.0,female div/dep/mar,none,3.0,life insurance,39.0,none,own,2.0,unskilled resident,1.0,none,yes,good
42,less 0,18.0,delayed previously,education,8471.0,no known savings,between 1 and 4 years,1.0,female div/dep/mar,none,2.0,car,23.0,none,rent,2.0,skilled,1.0,yes,yes,good
43,between 0 and 200,24.0,existing paid,new car,3512.0,between 100 and 500,between 4 and 7 years,2.0,male single,none,3.0,car,38.0,bank,own,2.0,skilled,1.0,yes,yes,good
44,between 0 and 200,30.0,critical/other existing credit,new car,2181.0,no known savings,greater 7 years,4.0,male single,none,4.0,real estate,36.0,none,own,2.0,skilled,1.0,none,yes,good
45,no checking,4.0,critical/other existing credit,radio/tv,1503.0,less 100,between 4 and 7 years,2.0,male single,none,1.0,real estate,42.0,none,own,2.0,unskilled resident,2.0,none,yes,good
46,no checking,30.0,delayed previously,business,4272.0,between 100 and 500,between 1 and 4 years,2.0,male single,none,2.0,life insurance,26.0,none,own,2.0,unskilled resident,1.0,none,yes,good
47,no checking,18.0,delayed previously,business,2169.0,less 100,between 1 and 4 years,4.0,male mar/wid,none,2.0,car,28.0,none,own,1.0,skilled,1.0,yes,yes,bad
48,no checking,24.0,existing paid,used car,6313.0,no known savings,greater 7 years,3.0,male single,none,4.0,car,41.0,none,own,1.0,high qualif/self emp/mgmt,2.0,yes,yes,good
49,no checking,24.0,critical/other existing credit,education,1597.0000000000002,less 100,greater 7 years,4.0,male single,none,4.0,no known property,54.0,none,for free,2.0,skilled,2.0,none,yes,good
50,less 0,6.000000000000002,existing paid,radio/tv,2647.0,between 500 and 1000,between 1 and 4 years,2.0,male single,none,3.0,real estate,44.0,none,rent,1.0,skilled,2.0,none,yes,good
51,no checking,18.0,existing paid,radio/tv,1505.0,less 100,between 1 and 4 years,4.0,male single,none,2.0,no known property,32.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
52,greater 200,6.000000000000002,existing paid,furniture/equipment,2116.0,less 100,between 1 and 4 years,2.0,male single,none,2.0,real estate,41.0,none,own,1.0,skilled,1.0,yes,yes,good
53,greater 200,6.000000000000002,critical/other existing credit,education,1047.0,less 100,between 1 and 4 years,2.0,female div/dep/mar,none,4.0,life insurance,50.0,none,own,1.0,unskilled resident,1.0,none,yes,good
54,less 0,6.000000000000002,critical/other existing credit,new car,609.0,less 100,between 4 and 7 years,4.0,female div/dep/mar,none,3.0,life insurance,37.0,none,own,2.0,skilled,1.0,none,no,good
55,less 0,12.0,existing paid,new car,1372.0,less 100,between 4 and 7 years,2.0,male div/sep,none,3.0,car,36.0,none,own,1.0,skilled,1.0,none,yes,bad
56,less 0,12.0,critical/other existing credit,furniture/equipment,2246.0,less 100,greater 7 years,3.0,male single,none,3.0,life insurance,60.0,none,own,2.0,skilled,1.0,none,yes,bad
57,no checking,12.0,existing paid,education,719.0,less 100,greater 7 years,4.0,male single,none,4.0,car,41.0,bank,own,1.0,unskilled resident,2.0,none,yes,bad
58,between 0 and 200,18.0,delayed previously,furniture/equipment,4297.0,less 100,greater 7 years,4.0,male div/sep,none,3.0,no known property,40.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
59,between 0 and 200,18.0,existing paid,used car,2779.0,less 100,between 1 and 4 years,1.0,male mar/wid,none,3.0,car,21.0,none,rent,1.0,skilled,1.0,yes,yes,good
60,between 0 and 200,48.0,existing paid,radio/tv,5951.0,less 100,between 1 and 4 years,2.0,female div/dep/mar,none,2.0,real estate,22.0,none,own,1.0,skilled,1.0,none,yes,bad
61,less 0,24.0,no credits/all paid,furniture/equipment,4110.0,less 100,greater 7 years,3.0,male single,none,4.0,no known property,23.0,bank,rent,2.0,skilled,2.0,none,yes,bad
62,no checking,6.000000000000002,existing paid,retraining,1238.0,no known savings,unemployed,4.0,male single,none,4.0,life insurance,36.0,none,own,1.0,high qualif/self emp/mgmt,2.0,yes,yes,good
63,no checking,36.0,existing paid,furniture/equipment,10974.0,less 100,unemployed,4.0,female div/dep/mar,none,2.0,car,26.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
64,less 0,21.0,critical/other existing credit,new car,1602.0,less 100,greater 7 years,4.0,male mar/wid,none,3.0,car,30.0,none,own,2.0,skilled,1.0,yes,yes,good
65,greater 200,15.0,critical/other existing credit,radio/tv,1271.0,no known savings,between 1 and 4 years,3.0,male single,none,4.0,no known property,39.0,none,for free,2.0,skilled,1.0,yes,yes,bad
66,between 0 and 200,12.0,existing paid,repairs,639.0,less 100,between 1 and 4 years,4.0,male single,none,2.0,car,30.0,none,own,1.0,skilled,1.0,none,yes,bad
67,between 0 and 200,7.0,existing paid,radio/tv,2415.0,less 100,between 1 and 4 years,3.0,male single,guarantor,2.0,real estate,34.0,none,own,1.0,skilled,1.0,none,yes,good
68,less 0,60.0,existing paid,business,7297.0,less 100,greater 7 years,4.0,male single,co applicant,4.0,no known property,36.0,none,rent,1.0,skilled,1.0,none,yes,bad
69,no checking,21.0,delayed previously,used car,2993.0,less 100,between 1 and 4 years,3.0,male single,none,2.0,real estate,28.0,stores,own,2.0,unskilled resident,1.0,none,yes,good
70,no checking,15.0,critical/other existing credit,education,1531.9999999999998,between 100 and 500,between 1 and 4 years,4.0,female div/dep/mar,none,3.0,car,31.0,none,own,1.0,skilled,1.0,none,yes,good
71,less 0,10.0,critical/other existing credit,furniture/equipment,2132.0,no known savings,less 1 year,2.0,female div/dep/mar,co applicant,3.0,real estate,27.0,none,rent,2.0,skilled,1.0,none,no,good
72,no checking,6.000000000000002,existing paid,radio/tv,518.0,less 100,between 1 and 4 years,3.0,female div/dep/mar,none,1.0,real estate,29.0,none,own,1.0,skilled,1.0,none,yes,good
73,no checking,15.0,critical/other existing credit,radio/tv,1471.0000000000002,less 100,between 1 and 4 years,4.0,male single,none,4.0,no known property,35.0,none,for free,2.0,skilled,1.0,yes,yes,good
74,no checking,24.0,existing paid,radio/tv,3105.0,no known savings,less 1 year,4.0,male single,none,2.0,car,25.0,none,own,2.0,skilled,1.0,none,yes,good
75,between 0 and 200,48.0,existing paid,business,15672.0,less 100,between 1 and 4 years,2.0,male single,none,2.0,car,23.0,none,own,1.0,skilled,1.0,yes,yes,bad
76,less 0,12.0,existing paid,furniture/equipment,1858.0,less 100,less 1 year,4.0,female div/dep/mar,none,1.0,car,22.0,none,rent,1.0,skilled,1.0,none,yes,good
77,no checking,24.0,existing paid,used car,7814.0,less 100,between 4 and 7 years,3.0,male single,none,3.0,car,38.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
78,between 0 and 200,18.0,critical/other existing credit,furniture/equipment,1295.0,less 100,less 1 year,4.0,female div/dep/mar,none,1.0,life insurance,27.0,none,own,2.0,skilled,1.0,none,yes,good
79,less 0,6.000000000000002,critical/other existing credit,radio/tv,1169.0,no known savings,greater 7 years,4.0,male single,none,4.0,real estate,67.0,none,own,2.0,skilled,1.0,yes,yes,good
80,less 0,14.0,existing paid,new car,8978.0,less 100,greater 7 years,1.0,male div/sep,none,4.0,life insurance,45.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,no,bad
81,no checking,24.0,existing paid,radio/tv,1311.0,between 100 and 500,between 4 and 7 years,4.0,male mar/wid,none,3.0,life insurance,26.0,none,own,1.0,skilled,1.0,yes,yes,good
82,less 0,24.0,all paid,other,1358.0,no known savings,greater 7 years,4.0,male single,none,3.0,car,40.0,stores,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
83,no checking,54.0,no credits/all paid,used car,9436.0,no known savings,between 1 and 4 years,2.0,male single,none,2.0,life insurance,39.0,none,own,1.0,unskilled resident,2.0,none,yes,good
84,less 0,12.0,existing paid,new car,2579.0,less 100,less 1 year,4.0,male single,none,1.0,real estate,33.0,none,own,1.0,unskilled resident,2.0,none,yes,bad
85,less 0,20.0,existing paid,furniture/equipment,2212.0,no known savings,between 4 and 7 years,4.0,male single,none,4.0,car,39.0,none,own,1.0,skilled,1.0,yes,yes,good
86,no checking,12.0,delayed previously,repairs,1555.0,greater 1000,greater 7 years,4.0,male single,none,4.0,no known property,55.0,none,for free,2.0,skilled,2.0,none,yes,bad
87,no checking,24.0,critical/other existing credit,radio/tv,1851.0,less 100,between 4 and 7 years,4.0,male mar/wid,guarantor,2.0,car,33.0,none,own,2.0,skilled,1.0,yes,yes,good
88,less 0,10.0,existing paid,radio/tv,2315.0,less 100,greater 7 years,3.0,male single,none,4.0,real estate,52.0,none,own,1.0,unskilled resident,1.0,none,yes,good
89,no checking,24.0,existing paid,retraining,937.0,less 100,less 1 year,4.0,male mar/wid,none,3.0,car,27.0,none,own,2.0,unskilled resident,1.0,none,yes,good
90,between 0 and 200,48.0,all paid,business,3566.0,between 100 and 500,between 4 and 7 years,4.0,male single,none,2.0,car,30.0,none,own,1.0,skilled,1.0,none,yes,good
91,between 0 and 200,24.0,delayed previously,radio/tv,1553.0,between 100 and 500,between 4 and 7 years,3.0,female div/dep/mar,none,2.0,life insurance,23.0,none,rent,2.0,skilled,1.0,yes,yes,good
92,no checking,30.0,critical/other existing credit,radio/tv,2831.0,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,2.0,car,33.0,none,own,1.0,skilled,1.0,yes,yes,good
93,no checking,21.0,delayed previously,furniture/equipment,1591.0,between 100 and 500,between 4 and 7 years,4.0,male single,none,3.0,real estate,34.0,none,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,good
94,no checking,6.000000000000002,critical/other existing credit,new car,362.0,between 100 and 500,between 1 and 4 years,4.0,female div/dep/mar,none,4.0,car,52.0,none,own,2.0,unskilled resident,1.0,none,yes,good
95,no checking,24.0,critical/other existing credit,used car,6842.0,no known savings,between 1 and 4 years,2.0,male single,none,4.0,life insurance,46.0,none,own,2.0,high qualif/self emp/mgmt,2.0,yes,yes,good
96,less 0,18.0,existing paid,new car,2249.0,between 100 and 500,between 4 and 7 years,4.0,male single,none,3.0,car,30.0,none,own,1.0,high qualif/self emp/mgmt,2.0,yes,yes,good
97,less 0,18.0,existing paid,furniture/equipment,2039.0,less 100,between 1 and 4 years,1.0,female div/dep/mar,none,4.0,real estate,20.0,bank,rent,1.0,skilled,1.0,none,yes,bad
98,no checking,18.0,existing paid,new car,2662.0,no known savings,between 4 and 7 years,4.0,male single,none,3.0,life insurance,32.0,none,own,1.0,skilled,1.0,none,no,good
99,no checking,24.0,existing paid,radio/tv,1413.0,less 100,between 1 and 4 years,4.0,male mar/wid,none,2.0,life insurance,28.0,none,own,1.0,skilled,1.0,none,yes,good
100,less 0,24.0,existing paid,radio/tv,2384.0,less 100,greater 7 years,4.0,male single,none,4.0,real estate,64.0,bank,rent,1.0,unskilled resident,1.0,none,yes,good
101,no checking,36.0,critical/other existing credit,used car,10477.0,no known savings,greater 7 years,2.0,male single,none,4.0,no known property,42.0,none,for free,2.0,skilled,1.0,none,yes,good
102,greater 200,9.0,existing paid,radio/tv,1126.0,between 100 and 500,greater 7 years,2.0,male div/sep,none,4.0,real estate,49.0,none,own,1.0,skilled,1.0,none,yes,good
103,greater 200,30.0,critical/other existing credit,radio/tv,3656.0,no known savings,greater 7 years,4.0,male single,none,4.0,life insurance,49.0,stores,own,2.0,unskilled resident,1.0,none,yes,good
104,less 0,12.0,existing paid,education,1200.0,no known savings,between 1 and 4 years,4.0,female div/dep/mar,none,4.0,life insurance,23.0,bank,rent,1.0,skilled,1.0,yes,yes,good
105,less 0,12.0,existing paid,used car,3386.0,less 100,greater 7 years,3.0,male single,none,4.0,no known property,35.0,none,for free,1.0,skilled,1.0,yes,yes,bad
106,no checking,24.0,critical/other existing credit,used car,2197.0,no known savings,between 4 and 7 years,4.0,male single,none,4.0,car,43.0,none,own,2.0,skilled,2.0,yes,yes,good
107,between 0 and 200,7.0,existing paid,radio/tv,2329.0,less 100,less 1 year,1.0,female div/dep/mar,guarantor,1.0,real estate,45.0,none,own,1.0,skilled,1.0,none,yes,good
108,greater 200,18.0,existing paid,furniture/equipment,3049.0,less 100,less 1 year,1.0,female div/dep/mar,none,1.0,life insurance,45.0,stores,own,1.0,unskilled resident,1.0,none,yes,good
109,less 0,40.0,critical/other existing credit,education,5998.0,less 100,between 1 and 4 years,4.0,male single,none,3.0,no known property,27.0,bank,own,1.0,skilled,1.0,yes,yes,bad
110,less 0,12.0,existing paid,furniture/equipment,1620.0,less 100,between 1 and 4 years,2.0,female div/dep/mar,co applicant,3.0,life insurance,30.0,none,own,1.0,skilled,1.0,none,yes,good
111,between 0 and 200,9.0,existing paid,furniture/equipment,2030.0,no known savings,between 4 and 7 years,2.0,male single,none,1.0,car,24.0,none,own,1.0,skilled,1.0,yes,yes,good
112,between 0 and 200,12.0,no credits/all paid,furniture/equipment,2969.0,less 100,less 1 year,4.0,female div/dep/mar,none,3.0,life insurance,25.0,none,rent,2.0,skilled,1.0,none,yes,bad
113,between 0 and 200,24.0,existing paid,radio/tv,2896.0,between 100 and 500,less 1 year,2.0,male single,none,1.0,car,29.0,none,own,1.0,skilled,1.0,none,yes,good
114,greater 200,10.0,existing paid,new car,1239.9999999999998,between 100 and 500,greater 7 years,1.0,female div/dep/mar,none,4.0,no known property,48.0,none,for free,1.0,unskilled resident,2.0,none,yes,bad
115,between 0 and 200,9.0,existing paid,new car,1549.0,no known savings,less 1 year,4.0,male single,none,2.0,real estate,35.0,none,own,1.0,unemp/unskilled non res,1.0,none,yes,good
116,less 0,24.0,existing paid,used car,2812.0,no known savings,greater 7 years,2.0,female div/dep/mar,none,4.0,real estate,26.0,none,rent,1.0,skilled,1.0,none,yes,good
117,less 0,6.000000000000002,critical/other existing credit,new car,4716.0,no known savings,less 1 year,1.0,male single,none,3.0,real estate,44.0,none,own,2.0,unskilled resident,2.0,none,yes,good
118,no checking,10.0,existing paid,furniture/equipment,2210.0,less 100,between 1 and 4 years,2.0,male single,none,2.0,real estate,25.0,bank,rent,1.0,unskilled resident,1.0,none,yes,bad
119,less 0,12.0,existing paid,education,795.0,less 100,less 1 year,4.0,female div/dep/mar,none,4.0,life insurance,53.0,none,own,1.0,skilled,1.0,none,yes,bad
120,between 0 and 200,36.0,existing paid,education,2273.0,less 100,between 4 and 7 years,3.0,male single,none,1.0,car,32.0,none,own,2.0,skilled,2.0,none,yes,good
121,greater 200,12.0,existing paid,furniture/equipment,2251.0,less 100,between 1 and 4 years,1.0,female div/dep/mar,none,2.0,car,46.0,none,own,1.0,unskilled resident,1.0,none,yes,good
122,less 0,48.0,no credits/all paid,furniture/equipment,7119.0,less 100,between 1 and 4 years,3.0,male single,none,4.0,no known property,53.0,none,for free,2.0,skilled,2.0,none,yes,bad
123,no checking,12.0,existing paid,radio/tv,1262.0,less 100,between 1 and 4 years,3.0,male single,none,2.0,car,25.0,none,own,1.0,skilled,1.0,none,yes,good
124,no checking,24.0,existing paid,radio/tv,1277.9999999999998,less 100,greater 7 years,4.0,male single,none,1.0,real estate,36.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
125,between 0 and 200,6.000000000000002,existing paid,radio/tv,1068.0,less 100,greater 7 years,4.0,male single,none,4.0,car,28.0,none,own,1.0,skilled,2.0,none,yes,good
126,greater 200,24.0,existing paid,furniture/equipment,3749.0,less 100,less 1 year,2.0,female div/dep/mar,none,4.0,car,26.0,none,own,1.0,skilled,1.0,none,yes,good
127,between 0 and 200,24.0,no credits/all paid,business,4241.0,less 100,between 1 and 4 years,1.0,male single,none,4.0,real estate,36.0,none,own,3.0,unskilled resident,1.0,yes,yes,bad
128,no checking,15.0,critical/other existing credit,radio/tv,1360.0,less 100,between 1 and 4 years,4.0,male single,none,2.0,life insurance,31.0,none,own,2.0,skilled,1.0,none,yes,good
129,between 0 and 200,24.0,critical/other existing credit,business,2825.0,no known savings,between 4 and 7 years,4.0,male single,none,3.0,no known property,34.0,none,own,2.0,skilled,2.0,yes,yes,good
130,between 0 and 200,24.0,existing paid,new car,1246.0,less 100,less 1 year,4.0,male single,none,2.0,real estate,23.0,stores,own,1.0,unskilled resident,1.0,none,yes,bad
131,no checking,18.0,existing paid,radio/tv,1453.0,less 100,less 1 year,3.0,female div/dep/mar,none,1.0,real estate,26.0,none,own,1.0,skilled,1.0,none,yes,good
132,less 0,24.0,existing paid,furniture/equipment,3149.0,less 100,less 1 year,4.0,male single,none,1.0,no known property,22.0,bank,for free,1.0,skilled,1.0,none,yes,good
133,between 0 and 200,12.0,critical/other existing credit,new car,3124.0,less 100,less 1 year,1.0,male single,none,3.0,real estate,49.0,bank,own,2.0,unskilled resident,2.0,none,yes,good
134,no checking,12.0,existing paid,radio/tv,1963.0,less 100,between 4 and 7 years,4.0,male single,none,2.0,car,31.0,none,rent,2.0,high qualif/self emp/mgmt,2.0,yes,yes,good
135,less 0,24.0,all paid,furniture/equipment,3552.0,less 100,between 4 and 7 years,3.0,male single,none,4.0,car,27.0,bank,own,1.0,skilled,1.0,none,yes,bad
136,less 0,8.0,critical/other existing credit,other,1164.0000000000002,less 100,greater 7 years,3.0,male single,none,4.0,no known property,51.0,bank,for free,2.0,high qualif/self emp/mgmt,2.0,yes,yes,good
137,no checking,24.0,existing paid,radio/tv,3235.0,between 500 and 1000,greater 7 years,3.0,male div/sep,none,2.0,car,26.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
138,between 0 and 200,24.0,existing paid,radio/tv,2039.0,less 100,less 1 year,1.0,male mar/wid,none,1.0,life insurance,22.0,none,own,1.0,skilled,1.0,yes,yes,bad
139,between 0 and 200,12.0,existing paid,furniture/equipment,951.0,between 100 and 500,less 1 year,4.0,female div/dep/mar,none,4.0,car,27.0,bank,rent,4.0,skilled,1.0,none,yes,bad
140,less 0,12.0,existing paid,furniture/equipment,2577.0,less 100,between 1 and 4 years,2.0,male div/sep,none,1.0,car,42.0,none,own,1.0,skilled,1.0,none,yes,good
141,no checking,12.0,critical/other existing credit,new car,1494.9999999999998,less 100,greater 7 years,4.0,male single,none,1.0,real estate,38.0,none,own,2.0,unskilled resident,2.0,none,yes,good
142,no checking,6.000000000000002,existing paid,new car,672.0,less 100,unemployed,1.0,female div/dep/mar,none,4.0,real estate,54.0,none,own,1.0,unemp/unskilled non res,1.0,yes,yes,good
143,less 0,18.0,critical/other existing credit,radio/tv,1880.0,less 100,between 4 and 7 years,4.0,male mar/wid,none,1.0,life insurance,32.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
144,less 0,24.0,delayed previously,radio/tv,1024.0,less 100,less 1 year,4.0,male mar/wid,none,4.0,real estate,48.0,stores,own,1.0,skilled,1.0,none,yes,bad
145,no checking,12.0,existing paid,new car,1101.0,less 100,between 1 and 4 years,3.0,male mar/wid,none,2.0,real estate,27.0,none,own,2.0,skilled,1.0,yes,yes,good
146,less 0,36.0,existing paid,new car,9271.0,less 100,between 4 and 7 years,2.0,male single,none,1.0,car,24.0,none,own,1.0,skilled,1.0,yes,yes,bad
147,between 0 and 200,6.000000000000002,delayed previously,new car,1209.0,less 100,unemployed,4.0,male single,none,4.0,life insurance,47.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
148,less 0,47.0,existing paid,new car,10722.0,less 100,less 1 year,1.0,female div/dep/mar,none,1.0,real estate,35.0,none,own,1.0,unskilled resident,1.0,yes,yes,good
149,less 0,24.0,existing paid,used car,6579.0,less 100,unemployed,4.0,male single,none,2.0,no known property,29.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
150,no checking,36.0,no credits/all paid,repairs,2613.0,less 100,between 1 and 4 years,4.0,male single,none,2.0,car,27.0,none,own,2.0,skilled,1.0,none,yes,good
151,between 0 and 200,48.0,existing paid,radio/tv,10961.0,greater 1000,between 4 and 7 years,1.0,male single,co applicant,2.0,no known property,27.0,bank,own,2.0,skilled,1.0,yes,yes,bad
